date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:40:37	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Nov%202023%2013:10:37%20GMT	https://fonts.gstatic.com/	https://www.bizgurukul.com//bizgurukul1/fonts.gstatic.com/index.html	(from https://www.bizgurukul.com/)
18:40:38	1456/1456	---MC-	200	added ('OK')	text/css	date:Tue,%2021%20Nov%202023%2013:10:37%20GMT	https://fonts.googleapis.com/css2?&family=Jost:wght@300;400;500;600;700;800;900&display=swap	https://www.bizgurukul.com//bizgurukul1/fonts.googleapis.com/css2b660.css	(from https://www.bizgurukul.com/)
18:40:38	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Nov%202023%2013:10:37%20GMT	https://fonts.googleapis.com/	https://www.bizgurukul.com//bizgurukul1/fonts.googleapis.com/index.html	(from https://www.bizgurukul.com/)
18:40:38	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2021%20Nov%202023%2013:10:38%20GMT	https://www.jqueryscript.net/css/jquerysctipttop.css	https://www.bizgurukul.com//bizgurukul1/www.jqueryscript.net/css/jquerysctipttop.14.delayed	(from https://www.bizgurukul.com/)
18:40:39	1511/1511	---M-Z	200	added ('OK')	text/css	etag:W/%226376eddc-5e7%22	https://jquery.app/jqueryscripttop.css	https://www.bizgurukul.com//bizgurukul1/jquery.app/jqueryscripttop.css	(from https://www.bizgurukul.com/)
18:40:41	121200/121200	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:59%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	https://www.bizgurukul.com//bizgurukul1/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://www.bizgurukul.com/)
18:40:41	206749/206749	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2021%20Nov%202023%2013:10:41%20GMT	https://connect.facebook.net/en_US/fbevents.js	https://www.bizgurukul.com//bizgurukul1/connect.facebook.net/en_US/fbevents.js	(from https://www.bizgurukul.com/)
18:40:42	0/0	---M--	200	added ('OK')	text/plain	date:Tue,%2021%20Nov%202023%2013:10:42%20GMT	https://www.facebook.com/tr?id=1298560923953103&ev=PageView&noscript=1	https://www.bizgurukul.com//bizgurukul1/www.facebook.com/tr.18b22e.delayed	(from https://www.bizgurukul.com/)
18:40:43	40525/40525	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2021%20Nov%202023%2013:10:43%20GMT	https://sc-static.net/scevent.min.js	https://www.bizgurukul.com//bizgurukul1/sc-static.net/scevent.min.js	(from https://www.bizgurukul.com/)
18:40:44	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2021%20Nov%202023%2013:10:44%20GMT	https://www.googletagmanager.com/gtm.js?id=	https://www.bizgurukul.com//bizgurukul1/www.googletagmanager.com/gtm.1a5445.delayed	(from https://www.bizgurukul.com/)
18:40:46	290968/290968	---MCZ	200	added ('OK')	application/javascript	etag:%2244369ac297cd81:0%22	https://www.bizgurukul.com/Scripts/jquery-3.4.1.js	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/Scripts/jquery-3.4.1.js	(from https://www.bizgurukul.com/)
18:40:47	26951/26951	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2011%20Jul%202023%2000:56:04%20GMT	https://www.bizgurukul.com/WebResource.axd?d=x2nkrMJGXkMELz33nwnakFhMwSRPYA1fXDhikMF5PwpvwNb00ciAUtqkaX1h6UbiFfrJB91omWoyKZA_27co2PPUi3bRmnlsXGkiaJVRw9U1&t=638246535643328042	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/WebResource8e0e.js	(from https://www.bizgurukul.com/)
18:40:48	4912/4912	---M--	200	added ('OK')	image/png	etag:%221bc8dca26976d91:0%22	https://www.bizgurukul.com/biz/img/logo.png?v=1.1	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/biz/img/logof9e3.png	(from https://www.bizgurukul.com/)
18:40:49	242159/242159	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2013:10:47%20GMT	https://www.bizgurukul.com/Default	https://www.bizgurukul.com//bizgurukul1/www.bizgurukul.com/Default.html	(from https://www.bizgurukul.com/)
